id,host_id,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,is_duplicate_coordinate,host_count_per_coord,coordinate_type
29096139,219020306,Din Daeng,13.75828,100.56403,Hotel room,996,15,2022-08-23,0.31,1,1,multi_listing_same_host
29111139,78092094,Bangkok Noi,13.75123,100.47116,Entire home/apt,950,18,2022-12-08,0.38,0,1,individual
29113372,201678809,Vadhana,13.74758,100.56426,Private room,6000,2,2022-08-31,0.04,0,1,individual
29116170,209016139,Chatu Chak,13.8188,100.58358,Private room,625,1,2019-02-15,0.02,0,1,individual
29304724,217613757,Din Daeng,13.79623,100.57138,Private room,889,0,,0.0,0,1,individual
29306298,125020131,Din Daeng,13.78639,100.56846,Private room,1300,2,2019-01-03,0.04,0,1,individual
29318314,217883637,Dusit,13.76263,100.51577,Private room,950,0,,0.0,0,1,individual
29320330,220881500,Phasi Charoen,13.73556,100.4211,Entire home/apt,579,0,,0.0,0,1,individual
29325880,116013982,Bang Rak,13.7253,100.51573,Entire home/apt,18701,0,,0.0,0,1,individual
28835225,48919604,Vadhana,13.71907,100.58675,Private room,950,9,2022-11-06,0.17,1,1,multi_listing_same_host
28844397,217507135,Din Daeng,13.75585,100.55955,Private room,1400,0,,0.0,0,1,individual
28845120,205008955,Bang Kho laen,13.70038,100.51665,Entire home/apt,688,6,2022-11-04,0.17,0,1,individual
28846804,217522440,Bang Sue,13.8196,100.52475,Private room,1351,1,2019-01-19,0.02,0,1,individual
28848050,86631585,Suanluang,13.73507,100.62701,Entire home/apt,1050,3,2019-06-20,0.06,0,1,individual
28855537,217565360,Don Mueang,13.92609,100.58443,Private room,1500,0,,0.0,0,1,individual
29116260,190184541,Bang Sue,13.82816,100.53759,Entire home/apt,480,42,2020-03-25,0.85,0,1,individual
29331695,220963235,Bangkok Noi,13.76167,100.47158,Entire home/apt,875,7,2022-07-22,0.15,0,1,individual
29121430,131270916,Vadhana,13.74424,100.55757,Entire home/apt,1980,38,2022-12-11,0.75,0,1,individual
29133681,214589203,Chatu Chak,13.82595,100.57365,Private room,600,2,2019-10-14,0.04,0,1,individual
